"2-CUP-WAP-73","2-182-09-1-24","保健学研究棟 9F 運動療法治療技術実習室(901)"
"2-CUP-WAP-74","2-082-02-2-48","霞研究棟A 2F 消化器・代謝内科セミナー室1(210)"
"2-CUP-WAP-75","2-166-07-1-47","霞研究棟C 7F 708前廊下(774)"
"2-CUP-WAP-76","2-166-07-1-48","霞研究棟C 7F 710前廊下(774)"
"2-CUP-WAP-77","2-001-01-1-24","解剖センター 1F 処置室(117)"
"2-CUP-WAP-78","2-001-01-1-24","解剖センター 2F 206前廊下(272)"
"2-CUP-WAP-79","2-001-01-1-24","解剖センター 2F CST室(201)"
"2-CUP-WAP-80","2-001-01-1-24","解剖センター 3F 解剖実習室2(301)"
"2-CUP-WAP-81","2-187-03-1-23","大学病院入院棟 3F 医師控室(368-1)"
"2-CUP-WAP-82","2-119-02-1-20","基礎・社会医学棟 2F 223前廊下(270)"
"2-CUP-WAP-83","2-119-02-1-21","基礎・社会医学棟 2F 203-2前廊下(270)"
"2-CUP-WAP-84","2-150-02-4-04","臨床管理棟 2F 学生自習室1(2001)"
"2-CUP-WAP-85","2-150-02-4-03","臨床管理棟 2F ラウンジ1(2004)"
"2-CUP-WAP-86","2-150-02-4-03","臨床管理棟 2F ラウンジ2(2012)"
"2-CUP-WAP-87","2-150-02-4-03","臨床管理棟 2F 2018前廊下(2709)"
"2-CUP-WAP-88","2-150-02-4-03","臨床管理棟 2F 学生自習室7(2019)"
"2-CUP-WAP-89","2-182-02-1-13","保健学研究棟 2F 中講義室(204)-2"
"2-CUP-WAP-90","2-182-02-1-13","保健学研究棟 2F 院生研究室(207)"
"2-CUP-WAP-91","2-182-02-1-13","保健学研究棟 2F 情報処理室(208)"
"2-CUP-WAP-92","2-082-06-2-07","霞研究棟A 6F 大講義室(623)-1"
"2-CUP-WAP-93","2-082-06-2-08","霞研究棟A 6F 大講義室(623)-2"
"2-CUP-WAP-94","2-082-06-2-09","霞研究棟A 6F 大講義室(623)-3"
"2-CUP-WAP-95","2-118-01-1-53","基礎講義棟 1F 第1講義室(101)-2"
"2-CUP-WAP-97","2-118-01-1-53","基礎講義棟 1F 第2講義室(103)-1"
"2-CUP-WAP-98","2-118-01-1-53","基礎講義棟 1F 第2講義室(103)-2"
